Week.Number,Region,Population.per.10000,icu.case.10000,deaths.10000,No.of.cases,No.of.cases.x,ICU.Cases,ICU.Cases.x,No.of.deaths,No.of.deaths.x,P1,P2,P3,P4,P5,P6,P7,P8,P9,Temperature,TempCat
41,Uppsala,38.3713,0.026061145,0.052122289,285,226,1,3,2,0,1,1,1,1,1,1,1,1,1,10.6,2
42,Uppsala,38.3713,0.104244579,0.078183434,503,285,4,1,3,2,1,1,1,1,1,1,1,1,1,6.1,1
1,Varmland,28.2414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
2,Varmland,28.2414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
3,Varmland,28.2414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0
4,Varmland,28.2414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0
5,Varmland,28.2414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0
6,Varmland,28.2414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0
7,Varmland,28.2414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0
8,Varmland,28.2414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0
9,Varmland,28.2414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0
10,Varmland,28.2414,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0
11,Varmland,28.2414,0.035409009,0,21,11,1,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0
12,Varmland,28.2414,0.070818019,0,8,21,2,1,0,0,1,0,0,0,0,0,0,0,0,3.3,0
13,Varmland,28.2414,0.035409009,0.035409009,10,8,1,2,1,0,1,1,0,0,0,0,0,0,0,4.2,0
14,Varmland,28.2414,0.035409009,0,6,10,1,1,0,1,1,1,1,0,0,0,0,0,0,3.7,0
15,Varmland,28.2414,0,0.035409009,23,6,0,1,1,0,1,1,1,1,0,0,0,0,0,6.9,1
16,Varmland,28.2414,0.070818019,0.106227028,25,23,2,0,3,1,1,1,1,1,1,0,0,0,0,6.4,1
17,Varmland,28.2414,0.070818019,0.106227028,33,25,2,2,3,3,1,1,1,1,1,0,0,0,0,9.9,1
18,Varmland,28.2414,0.141636038,0.247863066,70,33,4,2,7,3,1,1,1,1,1,0,0,0,0,6,1
19,Varmland,28.2414,0.141636038,0.212454057,64,70,4,4,6,7,1,1,1,1,1,0,0,0,0,8.9,1
20,Varmland,28.2414,0.035409009,0.141636038,53,64,1,4,4,6,1,1,1,1,1,1,0,0,0,6.2,1
21,Varmland,28.2414,0.070818019,0.141636038,83,53,2,1,4,4,1,1,1,1,1,1,0,0,0,10.5,2
22,Varmland,28.2414,0.106227028,0.141636038,126,83,3,2,4,4,1,1,1,1,1,1,1,0,0,14.5,2
23,Varmland,28.2414,0.106227028,0.354090095,110,126,3,3,10,4,1,1,1,1,1,1,1,1,0,15.7,3
24,Varmland,28.2414,0.070818019,0.424908114,115,109,2,3,12,10,1,1,1,1,1,1,1,1,0,18.5,3
25,Varmland,28.2414,0.035409009,0.247863066,84,115,1,2,7,12,1,1,1,1,1,1,1,1,0,19.9,3
26,Varmland,28.2414,0.035409009,0.141636038,93,84,1,1,4,7,1,1,1,1,1,1,1,1,1,21.2,3
27,Varmland,28.2414,0.035409009,0.070818019,45,93,1,1,2,4,1,1,1,1,1,1,1,1,1,15.6,3
28,Varmland,28.2414,0.035409009,0.106227028,20,45,1,1,3,2,1,1,1,1,1,1,1,1,1,14,2
29,Varmland,28.2414,0,0.035409009,9,20,0,1,1,3,1,1,1,1,1,1,1,1,1,17,3
30,Varmland,28.2414,0,0.035409009,15,9,0,0,1,1,1,1,1,1,1,1,1,1,1,15.2,3
31,Varmland,28.2414,0,0,14,15,0,0,0,1,1,1,1,1,1,1,1,1,1,17.5,3
32,Varmland,28.2414,0,0,57,14,0,0,0,0,1,1,1,1,1,1,1,1,1,19.3,3
33,Varmland,28.2414,0,0,46,57,0,0,0,0,1,1,1,1,1,1,1,1,1,19.4,3
34,Varmland,28.2414,0.035409009,0,27,46,1,0,0,0,1,1,1,1,1,1,1,1,1,19.7,3
35,Varmland,28.2414,0,0,12,27,0,1,0,0,1,1,1,1,1,1,1,1,1,13.9,2
36,Varmland,28.2414,0,0,27,12,0,0,0,0,1,1,1,1,1,1,1,1,1,14.3,2
37,Varmland,28.2414,0,0,20,27,0,0,0,0,1,1,1,1,1,1,1,1,1,13,2
38,Varmland,28.2414,0,0,27,20,0,0,0,0,1,1,1,1,1,1,1,1,1,12.9,2
39,Varmland,28.2414,0,0,21,27,0,0,0,0,1,1,1,1,1,1,1,1,1,13.6,2
40,Varmland,28.2414,0,0.035409009,50,21,0,0,1,0,1,1,1,1,1,1,1,1,1,12.6,2
41,Varmland,28.2414,0.035409009,0,34,50,1,0,0,1,1,1,1,1,1,1,1,1,1,10.8,2
42,Varmland,28.2414,0,0.035409009,80,34,0,1,1,0,1,1,1,1,1,1,1,1,1,5.2,1
1,Vasterbotten,27.1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,0
2,Vasterbotten,27.1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5,0
3,Vasterbotten,27.1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.7,0
4,Vasterbotten,27.1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3,0
5,Vasterbotten,27.1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.4,0
6,Vasterbotten,27.1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.2,0
7,Vasterbotten,27.1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.1,0
8,Vasterbotten,27.1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7,0
9,Vasterbotten,27.1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.4,0
10,Vasterbotten,27.1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.3,0
11,Vasterbotten,27.1736,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9,0
12,Vasterbotten,27.1736,0.110401272,0,16,13,3,0,0,0,1,0,0,0,0,0,0,0,0,-2.2,0
13,Vasterbotten,27.1736,0.073600848,0,18,16,2,3,0,0,1,1,0,0,0,0,0,0,0,0.5,0
14,Vasterbotten,27.1736,0.18400212,0,74,18,5,2,0,0,1,1,1,0,0,0,0,0,0,-2.1,0
15,Vasterbotten,27.1736,0.147201696,0.257602968,58,74,4,5,7,0,1,1,1,1,0,0,0,0,0,1.6,0
16,Vasterbotten,27.1736,0.147201696,0.18400212,56,58,4,4,5,7,1,1,1,1,1,0,0,0,0,2,0
17,Vasterbotten,27.1736,0.110401272,0.110401272,59,56,3,4,3,5,1,1,1,1,1,0,0,0,0,4.6,0
18,Vasterbotten,27.1736,0,0.036800424,35,59,0,3,1,3,1,1,1,1,1,0,0,0,0,1.9,0
19,Vasterbotten,27.1736,0.036800424,0.073600848,35,35,1,0,2,1,1,1,1,1,1,0,0,0,0,3.4,0
20,Vasterbotten,27.1736,0.073600848,0.110401272,52,35,2,1,3,2,1,1,1,1,1,1,0,0,0,2.2,0
21,Vasterbotten,27.1736,0.073600848,0.147201696,49,52,2,2,4,3,1,1,1,1,1,1,0,0,0,6.8,1
22,Vasterbotten,27.1736,0.073600848,0.073600848,35,49,2,2,2,4,1,1,1,1,1,1,1,0,0,11.5,2
23,Vasterbotten,27.1736,0.036800424,0.110401272,35,35,1,2,3,2,1,1,1,1,1,1,1,1,0,14,2
24,Vasterbotten,27.1736,0.073600848,0,40,35,2,1,0,3,1,1,1,1,1,1,1,1,0,15.2,3
25,Vasterbotten,27.1736,0,0.036800424,51,40,0,2,1,0,1,1,1,1,1,1,1,1,0,19.2,3
26,Vasterbotten,27.1736,0.036800424,0,61,51,1,0,0,1,1,1,1,1,1,1,1,1,1,21.6,3
27,Vasterbotten,27.1736,0,0,34,61,0,1,0,0,1,1,1,1,1,1,1,1,1,11.4,2
28,Vasterbotten,27.1736,0,0,13,34,0,0,0,0,1,1,1,1,1,1,1,1,1,11.6,2
29,Vasterbotten,27.1736,0.036800424,0,24,13,1,0,0,0,1,1,1,1,1,1,1,1,1,15,2
30,Vasterbotten,27.1736,0,0,8,24,0,1,0,0,1,1,1,1,1,1,1,1,1,12.2,2
31,Vasterbotten,27.1736,0.036800424,0,18,8,1,0,0,0,1,1,1,1,1,1,1,1,1,16,3
32,Vasterbotten,27.1736,0,0,8,18,0,1,0,0,1,1,1,1,1,1,1,1,1,16.3,3
33,Vasterbotten,27.1736,0,0,42,8,0,0,0,0,1,1,1,1,1,1,1,1,1,15,2
34,Vasterbotten,27.1736,0,0,14,42,0,0,0,0,1,1,1,1,1,1,1,1,1,16.2,3
35,Vasterbotten,27.1736,0,0,13,14,0,0,0,0,1,1,1,1,1,1,1,1,1,10,2
36,Vasterbotten,27.1736,0,0,7,13,0,0,0,0,1,1,1,1,1,1,1,1,1,10.5,2
37,Vasterbotten,27.1736,0,0,23,7,0,0,0,0,1,1,1,1,1,1,1,1,1,9.4,1
38,Vasterbotten,27.1736,0,0,42,23,0,0,0,0,1,1,1,1,1,1,1,1,1,7.6,1
39,Vasterbotten,27.1736,0,0,96,42,0,0,0,0,1,1,1,1,1,1,1,1,1,7,1
40,Vasterbotten,27.1736,0,0,54,96,0,0,0,0,1,1,1,1,1,1,1,1,1,9.5,1
41,Vasterbotten,27.1736,0,0,58,54,0,0,0,0,1,1,1,1,1,1,1,1,1,8.5,1
42,Vasterbotten,27.1736,0,0,50,58,0,0,0,0,1,1,1,1,1,1,1,1,1,2.8,0
1,Vasternorrland,24.5347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0
2,Vasternorrland,24.5347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0
3,Vasternorrland,24.5347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0
4,Vasternorrland,24.5347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0
5,Vasternorrland,24.5347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,Vasternorrland,24.5347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.2,0
7,Vasternorrland,24.5347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0
8,Vasternorrland,24.5347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0
9,Vasternorrland,24.5347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.8,0
10,Vasternorrland,24.5347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.8,0
11,Vasternorrland,24.5347,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0
12,Vasternorrland,24.5347,0.040758599,0,3,11,1,0,0,0,1,0,0,0,0,0,0,0,0,1.4,0
13,Vasternorrland,24.5347,0.081517198,0,22,3,2,1,0,0,1,1,0,0,0,0,0,0,0,3.6,0
14,Vasternorrland,24.5347,0.163034396,0.203792995,33,22,4,2,5,0,1,1,1,0,0,0,0,0,0,0.7,0
15,Vasternorrland,24.5347,0.203792995,0.326068792,36,33,5,4,8,5,1,1,1,1,0,0,0,0,0,4.5,0
16,Vasternorrland,24.5347,0.122275797,0.40758599,34,36,3,5,10,8,1,1,1,1,1,0,0,0,0,5.5,1
17,Vasternorrland,24.5347,0.244551594,0.489103189,67,34,6,3,12,10,1,1,1,1,1,0,0,0,0,8,1
18,Vasternorrland,24.5347,0.122275797,0.40758599,67,67,3,6,10,12,1,1,1,1,1,0,0,0,0,3.4,0
19,Vasternorrland,24.5347,0.163034396,0.489103189,77,67,4,3,12,10,1,1,1,1,1,0,0,0,0,6.4,1
20,Vasternorrland,24.5347,0.122275797,0.366827391,98,77,3,4,9,12,1,1,1,1,1,1,0,0,0,4.3,0
21,Vasternorrland,24.5347,0.203792995,0.529861788,143,98,5,3,13,9,1,1,1,1,1,1,0,0,0,6.9,1
22,Vasternorrland,24.5347,0.122275797,0.285310193,135,143,3,5,7,13,1,1,1,1,1,1,1,0,0,12.8,2
23,Vasternorrland,24.5347,0.081517198,0.244551594,154,135,2,3,6,7,1,1,1,1,1,1,1,1,0,13.5,2
24,Vasternorrland,24.5347,0.122275797,0.285310193,118,154,3,2,7,6,1,1,1,1,1,1,1,1,0,15.5,3
25,Vasternorrland,24.5347,0.163034396,0.448344589,154,118,4,3,11,7,1,1,1,1,1,1,1,1,0,18.3,3
26,Vasternorrland,24.5347,0.081517198,0.163034396,157,154,2,4,4,11,1,1,1,1,1,1,1,1,1,19.1,3
27,Vasternorrland,24.5347,0.040758599,0.163034396,162,157,1,2,4,4,1,1,1,1,1,1,1,1,1,13.8,2
28,Vasternorrland,24.5347,0,0.285310193,118,162,0,1,7,4,1,1,1,1,1,1,1,1,1,13.6,2
29,Vasternorrland,24.5347,0,0.122275797,70,118,0,0,3,7,1,1,1,1,1,1,1,1,1,16.5,3
30,Vasternorrland,24.5347,0,0.122275797,59,70,0,0,3,3,1,1,1,1,1,1,1,1,1,14.2,2
31,Vasternorrland,24.5347,0,0.040758599,37,59,0,0,1,3,1,1,1,1,1,1,1,1,1,15.9,3
32,Vasternorrland,24.5347,0,0,40,37,0,0,0,1,1,1,1,1,1,1,1,1,1,17.7,3
33,Vasternorrland,24.5347,0,0.040758599,21,40,0,0,1,0,1,1,1,1,1,1,1,1,1,17,3
34,Vasternorrland,24.5347,0,0.040758599,27,21,0,0,1,1,1,1,1,1,1,1,1,1,1,18.1,3
35,Vasternorrland,24.5347,0,0.040758599,10,27,0,0,1,1,1,1,1,1,1,1,1,1,1,12.1,2
36,Vasternorrland,24.5347,0,0.040758599,6,10,0,0,1,1,1,1,1,1,1,1,1,1,1,12.9,2
37,Vasternorrland,24.5347,0,0,16,6,0,0,0,1,1,1,1,1,1,1,1,1,1,11.6,2
38,Vasternorrland,24.5347,0,0,18,16,0,0,0,0,1,1,1,1,1,1,1,1,1,10.3,2
39,Vasternorrland,24.5347,0,0,25,18,0,0,0,0,1,1,1,1,1,1,1,1,1,10.7,2
40,Vasternorrland,24.5347,0,0,30,25,0,0,0,0,1,1,1,1,1,1,1,1,1,10.1,2
41,Vasternorrland,24.5347,0,0.040758599,38,30,0,0,1,0,1,1,1,1,1,1,1,1,1,9.9,1
42,Vasternorrland,24.5347,0,0,41,38,0,0,0,1,1,1,1,1,1,1,1,1,1,5.2,1
1,Vastmanland,27.5845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
2,Vastmanland,27.5845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0
3,Vastmanland,27.5845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0
4,Vastmanland,27.5845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0
5,Vastmanland,27.5845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.9,0
6,Vastmanland,27.5845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1,0
7,Vastmanland,27.5845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4,0
8,Vastmanland,27.5845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,0
9,Vastmanland,27.5845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.3,0
10,Vastmanland,27.5845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5,0
11,Vastmanland,27.5845,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4,0
12,Vastmanland,27.5845,0,0,16,5,0,0,0,0,1,0,0,0,0,0,0,0,0,-1.5,0
13,Vastmanland,27.5845,0.362522431,0.072504486,29,16,10,0,2,0,1,1,0,0,0,0,0,0,0,1,0
14,Vastmanland,27.5845,0.181261216,0.398774674,110,29,5,10,11,2,1,1,1,0,0,0,0,0,0,-1.8,0
15,Vastmanland,27.5845,0.181261216,0.688792619,190,110,5,5,19,11,1,1,1,1,0,0,0,0,0,2.5,0
16,Vastmanland,27.5845,0.181261216,1.667603183,165,190,5,5,46,19,1,1,1,1,1,0,0,0,0,1.6,0
17,Vastmanland,27.5845,0.253765702,0.652540376,171,165,7,5,18,46,1,1,1,1,1,0,0,0,0,4.4,0
18,Vastmanland,27.5845,0.145008972,0.507531404,120,171,4,7,14,18,1,1,1,1,1,0,0,0,0,2.1,0
19,Vastmanland,27.5845,0.108756729,0.47127916,83,120,3,4,13,14,1,1,1,1,1,0,0,0,0,2.6,0
20,Vastmanland,27.5845,0.072504486,0.362522431,116,83,2,3,10,13,1,1,1,1,1,1,0,0,0,1,0
21,Vastmanland,27.5845,0.036252243,0.253765702,115,116,1,2,7,10,1,1,1,1,1,1,0,0,0,6.9,1
22,Vastmanland,27.5845,0.072504486,0.290017945,144,115,2,1,8,7,1,1,1,1,1,1,1,0,0,10.5,2
23,Vastmanland,27.5845,0.181261216,0.217513459,173,144,5,2,6,8,1,1,1,1,1,1,1,1,0,12.6,2
24,Vastmanland,27.5845,0.036252243,0.217513459,282,173,1,5,6,6,1,1,1,1,1,1,1,1,0,13.6,2
25,Vastmanland,27.5845,0,0.253765702,268,282,0,1,7,6,1,1,1,1,1,1,1,1,0,18.6,3
26,Vastmanland,27.5845,0.036252243,0.145008972,212,268,1,0,4,7,1,1,1,1,1,1,1,1,1,20.1,3
27,Vastmanland,27.5845,0.072504486,0.145008972,178,212,2,1,4,4,1,1,1,1,1,1,1,1,1,9.6,1
28,Vastmanland,27.5845,0,0.108756729,100,178,0,2,3,4,1,1,1,1,1,1,1,1,1,9.4,1
29,Vastmanland,27.5845,0,0.036252243,50,100,0,0,1,3,1,1,1,1,1,1,1,1,1,13.8,2
30,Vastmanland,27.5845,0.072504486,0.036252243,35,50,2,0,1,1,1,1,1,1,1,1,1,1,1,10.2,2
31,Vastmanland,27.5845,0,0.036252243,39,35,0,2,1,1,1,1,1,1,1,1,1,1,1,15.1,3
32,Vastmanland,27.5845,0,0.072504486,39,39,0,0,2,1,1,1,1,1,1,1,1,1,1,17,3
33,Vastmanland,27.5845,0,0,41,39,0,0,0,2,1,1,1,1,1,1,1,1,1,16.9,3
34,Vastmanland,27.5845,0,0,36,41,0,0,0,0,1,1,1,1,1,1,1,1,1,17.1,3
35,Vastmanland,27.5845,0,0,21,36,0,0,0,0,1,1,1,1,1,1,1,1,1,10.4,2
36,Vastmanland,27.5845,0,0,32,21,0,0,0,0,1,1,1,1,1,1,1,1,1,13.3,2
37,Vastmanland,27.5845,0,0,50,32,0,0,0,0,1,1,1,1,1,1,1,1,1,12.1,2
38,Vastmanland,27.5845,0,0,56,50,0,0,0,0,1,1,1,1,1,1,1,1,1,11.2,2
39,Vastmanland,27.5845,0,0,199,56,0,0,0,0,1,1,1,1,1,1,1,1,1,13,2
40,Vastmanland,27.5845,0.072504486,0,123,199,2,0,0,0,1,1,1,1,1,1,1,1,1,12,2
41,Vastmanland,27.5845,0,0,116,123,0,2,0,0,1,1,1,1,1,1,1,1,1,10.4,2
42,Vastmanland,27.5845,0,0.036252243,120,116,0,0,1,0,1,1,1,1,1,1,1,1,1,5.2,1
1,Vastra Gotaland,172.5881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0
2,Vastra Gotaland,172.5881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0
3,Vastra Gotaland,172.5881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0
4,Vastra Gotaland,172.5881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0
5,Vastra Gotaland,172.5881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0
6,Vastra Gotaland,172.5881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0
7,Vastra Gotaland,172.5881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
8,Vastra Gotaland,172.5881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
9,Vastra Gotaland,172.5881,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0
10,Vastra Gotaland,172.5881,0.005794142,0,24,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0
11,Vastra Gotaland,172.5881,0,0.005794142,146,24,0,1,1,0,0,0,0,0,0,0,0,0,0,3.2,0
12,Vastra Gotaland,172.5881,0.075323849,0.011588284,78,146,13,0,2,1,1,0,0,0,0,0,0,0,0,3.3,0
13,Vastra Gotaland,172.5881,0.144853556,0.034764853,116,78,25,13,6,2,1,1,0,0,0,0,0,0,0,2,0
14,Vastra Gotaland,172.5881,0.139059414,0.162235983,240,116,24,25,28,6,1,1,1,0,0,0,0,0,0,3.8,0
15,Vastra Gotaland,172.5881,0.237559832,0.249148116,444,240,41,24,43,28,1,1,1,1,0,0,0,0,0,6.7,1
16,Vastra Gotaland,172.5881,0.173824267,0.411384099,421,444,30,41,71,43,1,1,1,1,1,0,0,0,0,5.7,1
17,Vastra Gotaland,172.5881,0.289707112,0.376619245,611,421,50,30,65,71,1,1,1,1,1,0,0,0,0,9.5,1
18,Vastra Gotaland,172.5881,0.237559832,0.446148952,623,611,41,50,77,65,1,1,1,1,1,0,0,0,0,6.4,1
19,Vastra Gotaland,172.5881,0.214383263,0.591002508,850,623,37,41,102,77,1,1,1,1,1,0,0,0,0,8.6,1
20,Vastra Gotaland,172.5881,0.15644184,0.434560668,828,850,27,37,75,102,1,1,1,1,1,1,0,0,0,5.8,1
21,Vastra Gotaland,172.5881,0.115882845,0.434560668,732,828,20,27,75,75,1,1,1,1,1,1,0,0,0,10.7,2
22,Vastra Gotaland,172.5881,0.15644184,0.312883681,873,732,27,20,54,75,1,1,1,1,1,1,1,0,0,13.9,2
23,Vastra Gotaland,172.5881,0.179618409,0.318677823,2140,873,31,27,55,54,1,1,1,1,1,1,1,1,0,14.5,2
24,Vastra Gotaland,172.5881,0.092706276,0.289707112,2443,2140,16,31,50,55,1,1,1,1,1,1,1,1,0,17.1,3
25,Vastra Gotaland,172.5881,0.127471129,0.249148116,1829,2443,22,16,43,50,1,1,1,1,1,1,1,1,0,19,3
26,Vastra Gotaland,172.5881,0.069529707,0.162235983,1935,1829,12,22,28,43,1,1,1,1,1,1,1,1,1,19.8,3
27,Vastra Gotaland,172.5881,0.05214728,0.086912134,914,1935,9,12,15,28,1,1,1,1,1,1,1,1,1,14.3,2
28,Vastra Gotaland,172.5881,0.034764853,0.133265271,365,914,6,9,23,15,1,1,1,1,1,1,1,1,1,12.8,2
29,Vastra Gotaland,172.5881,0.011588284,0.115882845,320,365,2,6,20,23,1,1,1,1,1,1,1,1,1,16.2,3
30,Vastra Gotaland,172.5881,0.017382427,0.034764853,336,320,3,2,6,20,1,1,1,1,1,1,1,1,1,14.1,2
31,Vastra Gotaland,172.5881,0.017382427,0.017382427,583,336,3,3,3,6,1,1,1,1,1,1,1,1,1,16.1,3
32,Vastra Gotaland,172.5881,0.011588284,0.005794142,670,583,2,3,1,3,1,1,1,1,1,1,1,1,1,18.1,3
33,Vastra Gotaland,172.5881,0.023176569,0.017382427,580,670,4,2,3,1,1,1,1,1,1,1,1,1,1,19.9,3
34,Vastra Gotaland,172.5881,0.011588284,0.028970711,397,580,2,4,5,3,1,1,1,1,1,1,1,1,1,18.6,3
35,Vastra Gotaland,172.5881,0.017382427,0.011588284,233,397,3,2,2,5,1,1,1,1,1,1,1,1,1,12.8,2
36,Vastra Gotaland,172.5881,0.005794142,0.011588284,296,233,1,3,2,2,1,1,1,1,1,1,1,1,1,13.1,2
37,Vastra Gotaland,172.5881,0.011588284,0.005794142,300,296,2,1,1,2,1,1,1,1,1,1,1,1,1,12.4,2
38,Vastra Gotaland,172.5881,0.011588284,0.011588284,337,300,2,2,2,1,1,1,1,1,1,1,1,1,1,12.7,2
39,Vastra Gotaland,172.5881,0.011588284,0.017382427,489,337,2,2,3,2,1,1,1,1,1,1,1,1,1,12.8,2
40,Vastra Gotaland,172.5881,0.011588284,0.023176569,402,489,2,2,4,3,1,1,1,1,1,1,1,1,1,13.1,2
41,Vastra Gotaland,172.5881,0.034764853,0.011588284,537,402,6,2,2,4,1,1,1,1,1,1,1,1,1,10.1,2
42,Vastra Gotaland,172.5881,0.023176569,0.005794142,706,537,4,6,1,2,1,1,1,1,1,1,1,1,1,5.7,1
